Frame Number,Caption
0,a woman is walking with a bear on the street
10,a woman is standing next to a bear
20,a woman is standing next to a bear
30,a woman is standing near a bunch of flowers
40,a woman is picking vegetables from a table
50,a woman is picking vegetables from a pile
60,a woman is picking vegetables from a bin
70,a woman is picking vegetables from a pile
80,a woman is picking vegetables from a pile
90,a woman is standing near a pile of vegetables
100,a woman is picking vegetables from a pile
110,a group of people standing around a pile of flowers
120,a woman is picking vegetables from a pile
130,a woman is picking flowers in a field
140,a woman is placing flowers in a pile
150,a woman is placing flowers in the ground
160,a woman is placing flowers in the ground
170,a woman is placing flowers in a pile
180,a woman is standing near a bunch of flowers
190,a man is bending his legs on a white surface
200,a person is holding a small object in their hand
210,a man is bending his butt on the floor
220,a man is doing push ups on his knees
230,a black man is doing a push on his knees
240,a man is doing a push on his stomach
250,a man is bending his foot on the floor
260,a man is putting something on a white sheet
270,a man is doing push ups on a white surface
280,a man doing push ups on a white floor
290,a man is bending his feet on the floor
300,a man is bending his foot on the floor
310,a man is doing push ups on his knees
320,a man is doing a push on his knees
330,a man is doing push ups on his knees
340,a man is bending his foot on the floor
350,a man is bending his foot on the floor
360,a man is bending his leg
370,a man is doing push ups on a white floor
380,a man is bending his foot on the floor
390,a man is bending his foot on the floor
400,a man is doing push ups on his knees
410,a man is doing push ups on his chest
420,a man is doing push ups on his chest
430,a man is doing push on his knees
440,a man is bending his foot on the floor
450,a man is bending his legs on the floor
460,a man is doing push ups on his knees
470,a man is doing push ups on his knees
480,a man is putting something on a white surface
490,a man is bending his foot on the floor
500,a man is doing push ups on his feet
510,a man is doing push ups on his chest
520,a man is doing a push on his chest
530,a man is bending his butt on the floor
540,a man is bending his foot on the floor
550,a man is bending his legs on the floor
560,a man doing push ups on a white floor
570,a man is bending his legs on the floor
580,a man is bending his foot on the floor
590,a man is bending his butt on the floor
600,a man is doing push on his chest
610,a man is doing a push on his knees
620,a man is doing push ups on his knees
630,a man is bending his foot on the floor
640,a person is writing on a piece of paper
